name_low,unix_date,date,tool,index,len_cut,min_current_main,max_current_main,min_current_sub,max_current_sub,rms_current_main,rms_current_sub,std_current_main,std_current_sub,kur_current_main,kur_current_sub,freq_pks1_current_main,freq_pks1_current_sub,freq_pks1_norm_current_main,freq_pks1_norm_current_sub,freq_mean_current_main,freq_mean_current_sub,freq_std_current_main,freq_std_current_sub,svd_current_sub_0,svd_current_sub_1,svd_current_sub_2,svd_current_sub_3,svd_current_sub_4,svd_current_sub_5,svd_current_sub_6,svd_current_sub_7,svd_current_sub_8,svd_current_sub_9,svd_current_sub_10,svd_current_sub_11,svd_current_sub_12,svd_current_sub_13,svd_current_sub_14,svd_current_sub_15,svd_current_sub_16,svd_current_sub_17,svd_current_sub_18,svd_current_sub_19,svd_current_sub_20,svd_current_sub_21,svd_current_sub_22,svd_current_sub_23,svd_current_sub_24,svd_current_main_0,svd_current_main_1,svd_current_main_2,svd_current_main_3,svd_current_main_4,svd_current_main_5,svd_current_main_6,svd_current_main_7,svd_current_main_8,svd_current_main_9,svd_current_main_10,svd_current_main_11,svd_current_main_12,svd_current_main_13,svd_current_main_14,svd_current_main_15,svd_current_main_16,svd_current_main_17,svd_current_main_18,svd_current_main_19,svd_current_main_20,svd_current_main_21,svd_current_main_22,svd_current_main_23,svd_current_main_24,failed
1549571052_2_2,1549571052,2019-02-07 15:24:12,2,2,1010,156.0,925.0,291.0,479.0,444.77331193530597,361.6246727760649,125.7393953913296,,0.5470620869314571,,73.93753661991012,,0.17330611559659226,,2.985066601610518,,7.225018677664924,,,,,,,,,,,,,,,,,,,,,,,,,,,125091.62163528298,18364.56645693774,16470.503045289894,8535.849571694429,3228.294898676208,3209.2852688365538,2466.3868376116548,2389.823384274974,2238.7469934930973,2135.720310297713,2120.4527409204447,2066.125666112675,2066.077161479731,1996.8101143618605,1685.589699367718,1683.084608912899,1208.4864255518467,1183.58728242598,1177.6962181040076,1095.2156489891768,1057.4582634748601,1057.0039917570114,1002.8174338669687,917.3356621279429,901.5733886442847,
1549309493_54_5,1549309493,2019-02-04 14:44:53,54,5,711,283.0,370.0,359.0,1594.0,322.0826413330921,1058.2966643702316,,346.7189635622807,,-1.4784156109586102,,317.1376592140601,,0.31717290064746534,,5.584152051288527,,21.825841814169035,271092.3811112294,27840.49923683666,12911.339491653258,12417.193128681936,9118.253868065065,3882.3771599381025,3851.924006029038,3447.349821805016,2120.089160768798,2086.7836184609446,1787.6991973658392,1519.290113373692,1418.0432530062988,1404.1576087260655,1402.1142973179155,1282.4880043940684,1274.9134806310828,1238.1759560061898,1229.8565115891665,1209.1640949518876,1202.9416800617882,1121.866751635204,1072.9748632928631,1048.6473192698631,1033.3534721201952,,,,,,,,,,,,,,,,,,,,,,,,,,
1568384164_11_0,1568384164,2019-09-13 10:16:04,11,0,2855,248.18736267089844,926.2112426757812,-0.036585256457328796,7.4038848876953125,625.1944679288878,2.4729753855592564,101.5653038072613,,1.596488314069771,,79.60384119135973,,0.1290406883769716,,0.8247432286564381,,3.50825841124743,,,,,,,,,,,,,,,,,,,,,,,,,,,323749.03646087163,23962.19765741075,21302.038187399026,8311.334903350828,6592.1620895175865,6527.246740319602,4175.31053275614,4110.756583068682,3501.2590328519423,3389.136585836937,2661.6284689826443,2647.413043161159,2303.946852639381,2303.6424173624127,2139.5375877039146,2066.4610284950973,2058.7535247584237,1727.7652060690048,1599.6348740757628,1582.128488079232,1499.247227253603,1377.3258565893263,1361.7525701172037,1041.896516230001,1036.1267519129951,
1549681668_22_4,1549681668,2019-02-08 22:07:48,22,4,1175,270.0,1135.0,1.0,9.0,664.7198136345102,2.7177900909973536,135.8520710404356,,0.7625243157792809,,89.39432168112943,,0.13738402215042256,,2.188644326158835,,7.528224758061016,,,,,,,,,,,,,,,,,,,,,,,,,,,211678.95130332428,19115.95718305517,14862.524520091238,14198.086485051273,8381.924401315084,2912.180166182212,2818.144009687738,2801.156144862281,1840.3143728039954,1793.776294836237,1752.5890169587126,1729.1607034739386,1646.3975039469292,1592.0083854272225,1582.6043141211678,1542.09282650649,1493.594859568421,1454.3557415903601,1393.1585060949149,1389.5287117875841,1023.0021834804313,990.8133499299659,985.7642457299129,797.0419006910122,787.8985081505754,
1542399924_36_5,1542399924,2018-11-16 15:25:24,36,5,239,288.0,382.0,289.0,908.0,321.6050619930936,572.2970817598103,,162.1792055450607,,-0.8588219287170555,,121.0496145853486,,0.2205566575633391,,9.32510224226353,,17.067962364484817,50992.19596651621,7777.074432710717,7523.722489045413,3891.0146262761173,3320.789922374635,3291.516145976312,2677.910446774868,2620.6895672901032,2136.3282984448933,2114.801935951343,1122.5412269007454,1058.4026738566058,993.1092254421983,474.58681166815387,465.8286874378438,447.93775155609666,442.4428021213768,379.58471033156076,375.86732175093107,349.25566840611225,347.6234485249199,328.4644058760328,328.3856293170968,311.6798102106535,304.77098819978903,,,,,,,,,,,,,,,,,,,,,,,,,,
1542641760_36_4,1542641760,2018-11-19 10:36:00,36,4,239,290.0,366.0,275.0,961.0,324.1814410088287,576.442175408738,,157.34461148220694,,-0.4442431299478278,,73.47165995323098,,0.1324882428346754,,8.331780426583146,,16.02758760919198,51708.12742792116,7143.986665475099,6931.691616701148,3897.697428293332,2940.3816593713004,2933.9222064543933,2818.1019347259603,2710.39595254577,2147.4402371048204,2124.8702805632006,1239.6843823998345,1224.5432255680375,982.5551276522878,511.6163711159053,504.78409654959637,488.524039587883,465.6281562738128,348.86597651972215,348.11141939623803,325.2332680060026,324.6466068616287,267.2619618846066,263.0784878438929,235.74445140133872,234.192297236611,,,,,,,,,,,,,,,,,,,,,,,,,,
1542295423_22_0,1542295423,2018-11-15 10:23:43,22,0,22,1060.0,1821.0,1.0,4.0,1433.8671011067809,1.8090680674665818,224.79471351244115,,-0.9073385977474571,,1.694967398758639e-12,,1.1968956113846913e-15,,57.56791981195493,,57.25834479772022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549555189_17_1,1549555189,2019-02-07 10:59:49,17,1,639,215.0,649.0,1.0,8.0,437.15454413932247,2.54043974850929,104.80562545311447,,-1.1108206472606246,,110.60181595634151,,0.260604216140055,,2.4593505524346315,,7.868479911291174,,,,,,,,,,,,,,,,,,,,,,,,,,,93916.23794040545,16316.044354972257,14891.683073429083,2912.434451966145,2891.2463256388296,1634.7375006725376,1594.9724130463349,1366.838979818932,1328.8705023074772,1275.5081743090052,1210.939279845394,1119.6910164855042,1115.7444116615752,1090.5757310023666,1025.517275091559,883.1233034401092,870.5724537435761,806.43537087144,781.1348501249346,668.0067426695789,569.56041106772,440.7928080305834,437.58336117287047,411.29073719008954,403.6777484354435,
1542811072_6_4,1542811072,2018-11-21 09:37:52,6,4,471,250.0,555.0,288.0,493.0,363.5765893257327,361.3588620419054,,36.42802858614473,,0.15355955965455648,,19.981459178713333,,0.05557845944484524,,1.5736279314470876,,2.8311593692952215,62205.52551948739,2987.277394692252,2706.419588528862,1976.688009970407,1923.7742678735797,1807.217556523477,1672.677772293967,1439.717993530868,1436.5381350135588,949.6014649343253,929.1822104426556,858.2389191848112,833.5203099046553,686.1500986697421,685.0451342124655,540.1996670013976,535.2007328827158,498.94360871072246,498.18197694971377,417.2714894782008,415.6763347315637,415.18735018754484,412.11198373361725,372.78869587458837,369.1664739591011,,,,,,,,,,,,,,,,,,,,,,,,,,
1542382140_22_5,1542382140,2018-11-16 10:29:00,22,5,359,266.0,650.0,1.0,7.0,450.0225682982086,2.43179954459031,102.28158234142461,,-1.0787160652751109,,93.63901129179919,,0.2136681183102772,,4.164213304454299,,9.87640754991052,,,,,,,,,,,,,,,,,,,,,,,,,,,61640.41660730941,9682.302528549642,9187.053597737002,1712.325064690092,1688.0408209508832,851.8430713128485,839.971650120884,704.3216722295319,698.4143842075742,693.5762708861174,659.2505876526724,638.4701801937883,634.7397365409065,616.7253711810657,604.7916966015523,596.8597787643188,489.1492342338766,486.43558608175283,400.10864100479625,334.84993537089287,329.9614586570651,311.499402191283,245.70547707065575,244.41331574538575,238.8786273100465,
1568235684_2_1,1568235684,2019-09-11 17:01:24,2,1,655,257.0,668.0,1.0,9.0,464.98165768633584,2.4850699223732056,101.5017220680265,,-1.0737127783498908,,113.03596433917274,,0.24910522458989073,,2.019909661725553,,7.626134451959713,,,,,,,,,,,,,,,,,,,,,,,,,,,102677.40073094405,15052.42457714201,13664.24134696083,3115.1424956194955,3020.3328460685084,3003.7521472053722,1511.829854872662,1399.9393935948879,1357.6603790666527,1180.3038018811712,1169.8547648661984,1029.1806985373064,1020.6358359227889,998.7036227416138,974.5293799044865,914.615171821719,835.7793504481045,702.5231635737177,697.5471770728913,676.3221977921787,652.4027636987604,630.9132573164125,453.45279954211884,438.7150628042512,434.4133357642241,
