unix_date,date,cut_dir,part,file_name,tools,len_cut,no_points,signals_names,failed,failed_tools,comment
1540298755,2018-10-23 08:45:55,/home/tim/Documents/Checkfluid-Project/data/raw/OCT2018_KS-NPC-6FF/23OCT2018_KS-NPC-6FF,KS-NPC-6FF,Data_KS-NPC-6FF_0.mat,1 3 5 8 11 13 15 17 21 22 23 32 36 37 54 57 ,177,177000,current_main current_sub cut_signal error_x error_z power_main power_sub speed_main speed_sub tool_no ,,,
1540298934,2018-10-23 08:48:54,/home/tim/Documents/Checkfluid-Project/data/raw/OCT2018_KS-NPC-6FF/23OCT2018_KS-NPC-6FF,KS-NPC-6FF,Data_KS-NPC-6FF_1.mat,1 3 5 8 11 13 15 17 21 22 23 32 36 37 54 57 ,177,177000,current_main current_sub cut_signal error_x error_z power_main power_sub speed_main speed_sub tool_no ,,,
1540299114,2018-10-23 08:51:54,/home/tim/Documents/Checkfluid-Project/data/raw/OCT2018_KS-NPC-6FF/23OCT2018_KS-NPC-6FF,KS-NPC-6FF,Data_KS-NPC-6FF_2.mat,1 3 5 8 11 13 15 17 21 22 23 32 36 37 54 57 ,177,177000,current_main current_sub cut_signal error_x error_z power_main power_sub speed_main speed_sub tool_no ,,,
1540299293,2018-10-23 08:54:53,/home/tim/Documents/Checkfluid-Project/data/raw/OCT2018_KS-NPC-6FF/23OCT2018_KS-NPC-6FF,KS-NPC-6FF,Data_KS-NPC-6FF_3.mat,1 3 5 8 11 13 15 17 21 22 23 32 36 37 54 57 ,177,177000,current_main current_sub cut_signal error_x error_z power_main power_sub speed_main speed_sub tool_no ,,,
1540299472,2018-10-23 08:57:52,/home/tim/Documents/Checkfluid-Project/data/raw/OCT2018_KS-NPC-6FF/23OCT2018_KS-NPC-6FF,KS-NPC-6FF,Data_KS-NPC-6FF_4.mat,1 3 5 8 11 13 15 17 21 22 23 32 36 37 54 57 ,177,177000,current_main current_sub cut_signal error_x error_z power_main power_sub speed_main speed_sub tool_no ,,,
1540299651,2018-10-23 09:00:51,/home/tim/Documents/Checkfluid-Project/data/raw/OCT2018_KS-NPC-6FF/23OCT2018_KS-NPC-6FF,KS-NPC-6FF,Data_KS-NPC-6FF_5.mat,1 3 5 8 11 13 15 17 21 22 23 32 36 37 54 57 ,177,177000,current_main current_sub cut_signal error_x error_z power_main power_sub speed_main speed_sub tool_no ,,,
1540299830,2018-10-23 09:03:50,/home/tim/Documents/Checkfluid-Project/data/raw/OCT2018_KS-NPC-6FF/23OCT2018_KS-NPC-6FF,KS-NPC-6FF,Data_KS-NPC-6FF_6.mat,1 3 5 8 11 13 15 17 21 22 23 32 36 37 54 57 ,177,177000,current_main current_sub cut_signal error_x error_z power_main power_sub speed_main speed_sub tool_no ,,,
1540300010,2018-10-23 09:06:50,/home/tim/Documents/Checkfluid-Project/data/raw/OCT2018_KS-NPC-6FF/23OCT2018_KS-NPC-6FF,KS-NPC-6FF,Data_KS-NPC-6FF_7.mat,1 3 5 8 11 13 15 17 21 22 23 32 36 37 54 57 ,177,177000,current_main current_sub cut_signal error_x error_z power_main power_sub speed_main speed_sub tool_no ,,,
1540300188,2018-10-23 09:09:48,/home/tim/Documents/Checkfluid-Project/data/raw/OCT2018_KS-NPC-6FF/23OCT2018_KS-NPC-6FF,KS-NPC-6FF,Data_KS-NPC-6FF_8.mat,1 3 5 8 11 13 15 17 21 22 23 32 36 37 54 57 ,177,177000,current_main current_sub cut_signal error_x error_z power_main power_sub speed_main speed_sub tool_no ,,,
1540300368,2018-10-23 09:12:48,/home/tim/Documents/Checkfluid-Project/data/raw/OCT2018_KS-NPC-6FF/23OCT2018_KS-NPC-6FF,KS-NPC-6FF,Data_KS-NPC-6FF_9.mat,1 3 5 8 11 13 15 17 21 22 23 32 36 37 54 57 ,177,177000,current_main current_sub cut_signal error_x error_z power_main power_sub speed_main speed_sub tool_no ,,,
